,,,,,,,,,,,,,,,,,
Dantex,,,,,,,,,,,,,,,,,
,Серия ADVANCE PRO PLUS 2 INVERTER,,инвертор,wi-fi,труба жидкостная,труба газовая,кабель межблочный,кабель питания,автомат эл,настенный кронштейн,Кронштейн с планкой Tecnosystemi ,гарантия,подключение питания,"max длинна трубопровода, м","max перепад высот, м",Короб и фасонные части к нему,"РРЦ, руб"
,,RAS-16J3KVSG-EE/RAS-16J2AVSG-EE,да,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),3  года,Наружный блок,20,12,OPT 102,6910
,,,,,,,,,,,,,,,,,
,SHORAI EDGE BLACK,RAS-B10G3KVSGB-E/RAS-10J2AVSG-E1,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,20,12,OPT 62,5450
,,RAS-B13G3KVSGB-E/RAS-13J2AVSG-E1,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,20,12,OPT 62,6050
,,RAS-B16G3KVSGB-E/RAS-16J2AVSG-E1,да,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),3  года,Наружный блок,20,12,OPT 75,6640
,,,,,,,,,,,,,,,,,
,SEIYA (В) (СKVG) NEW,,,,,,,,,,,,,,,,
,,RAS-B05СKVG-EE/RAS-05СAVG-EE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,20,12,OPT 62,3800
,,RAS-B07СKVG-EE/RAS-07СAVG-EE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,20,12,OPT 62,3880
,,RAS-B10СKVG-EE/RAS-10СAVG-EE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),3  года,Наружный блок,20,12,OPT 75,3960
,,RAS-B13СKVG-EE/RAS-13СAVG-EE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),3  года,Наружный блок,20,12,OPT 102,4320
ELECTROLUX,,,,,,,,,,,,,,,,,
,AVALANCHE SUPER DC-Inverter,,,,,,,,,,,,,,,,
,,EACS/I-09HAV/N8_22Y,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,15,10,OPT 62,2795
,,EACS/I-12HAV/N8_22Y,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,15,10,OPT 62,2170
,,EACS/I-18HAV/N8_22Y,да,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),3  года,Наружный блок,15,10,OPT 75,4860
,,EACS/I-24HAV/N8_22Y,да,опция,"1/4"" (6,35мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),3  года,Наружный блок,20,10,OPT 102,6140
,,,,,,,,,,,,,,,,,
,Onix Black Super DC Inverter,,,,,,,,,,,,,,,,
,,EACS/I-09HIX-BLACK/N8,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,10,OPT 62,2850
,,EACS/I-12HIX-BLACK/N8,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,10,OPT 62,3140
,,EACS/I-18HIX-BLACK/N8,да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,20,10,OPT 75,4800
,,EACS/I-24HIX-BLACK/N8,да,да,"1/4"" (6,35мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,25,10,OPT 102,5940
,,,,,,,,,,,,,,,,,
,ENTERPRISE BLACK Super DC Inverter,,,,,,,,,,,,,,,,
,,EACS/I-09HEN-BLACK/N8_24Y,да,нет,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,15,10,OPT 62,3870
,,EACS/I-12HEN-BLACK/N8_24Y,да,нет,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,15,10,OPT 62,4290
,,EACS/I-18HEN-BLACK/N8_24Y,да,нет,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,15,10,OPT 75,5400
,,EACS/I-24HEN-BLACK/N8_24Y,да,нет,"1/4"" (6,35мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,20,10,OPT 102,6990
,,,,,,,,,,,,,,,,,
,Smartline DC ,,,,,,,,,,,,,,,,
